Molecular_Name,SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3
Aromatic_41,CCCc1ccc(CC)cc1,11.0,11.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,148.249,74.72250000000005,0.0,2.6967549478265416,0.0181907124475431,0.0,3.201500000000002,49.81500000000003,0.4545454545454545,1.9839940849945568,0.0625704406264096,-0.0650654381344574,-1.6704744583480368e-18,1.0,1.0,0.0,2.664537066654608,195.78322454352,-0.78,2.376873799505857
Aromatic_42,Cc1ccc(CCC)cc1,10.0,10.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,134.222,67.76100000000004,0.0,2.620355219466585,0.0195225462289642,0.0,2.9475200000000017,45.17400000000003,0.4,1.9808148938059509,0.0625702687341128,-0.065065438134477,-4.33680868994202e-19,1.0,1.0,0.0,2.6938034523628094,183.69821324529929,-0.78,1.870576849413776
Aromatic_43,Ic1ccccc1,7.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,204.01,58.738500000000016,0.0,1.947358532764349,0.0095454072017006,0.0,2.2912,39.15900000000001,0.0,3.4731904377335057,0.0633851609840991,-0.0621949266238613,-6.216092455583559e-18,1.0,1.0,0.0,3.0214653097240864,134.10736969541455,-0.05,1.468848146829635
Aromatic_44,Fc1ccc(C)cc1,8.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,110.131,46.70549999999999,0.0,2.015405359107218,0.0183000730112969,0.0,2.13412,31.137,0.1428571428571428,2.357987766794323,0.1227268656454185,-0.2070121716647162,-1.8503717077085946e-18,1.0,1.0,0.0,3.0324555320336755,143.24662946459569,-0.8500000000000001,1.0594030875809968
Aromatic_45,Ic1ccc(O)cc1,8.0,8.0,8.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,220.009,61.23570000000002,24.276,2.284775871319092,0.0103849199847923,20.23,1.9968,40.82380000000001,0.0,3.5928224288638413,0.2930920808122449,-0.507965714881309,-8.540177112501206e-18,1.0,1.0,0.0,3.0324555320336755,147.38833891467198,-0.25,1.3647271531886918
Aromatic_46,Brc1ccc(N)cc1,8.0,8.0,8.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,172.02499999999998,57.83160000000001,31.224,2.2904946817369307,0.0133148941631857,26.02,2.0313,38.55440000000001,0.0,2.97458477762011,0.1562157547455787,-0.39872778567861,-4.212899870229388e-18,1.0,1.0,0.0,3.0324555320336755,147.38833891467198,-0.5,1.234072022160665
Aromatic_47,CCc1ccc(C(=O)N)cc1,11.0,11.0,11.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,149.193,66.50685000000003,51.708000000000006,2.651741051125032,0.0177738971221916,43.09,1.3479,44.33790000000002,0.2222222222222222,2.243272651715234,0.24819545160864,-0.3655995093554002,-2.5232341468753562e-18,1.0,1.0,0.0,2.9138015626758045,250.77017257091032,-1.31,1.802305551397824
Aromatic_48,Cc1ccc(Br)cc1,8.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,171.03700000000003,58.31850000000003,0.0,2.290242871626261,0.013390335764986,0.0,2.7575200000000013,38.87900000000002,0.1428571428571428,2.9328085781903064,0.0634692290108902,-0.0582043389752868,2.3129646346357432e-19,1.0,1.0,0.0,3.0324555320336755,143.24662946459569,-0.3,1.3382187267509833
Aromatic_49,C(=O)Oc1ccc(OC)cc1,11.0,11.0,11.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,152.149,59.52900000000003,42.636,2.6351538817337485,0.0173195608542559,35.53,1.2304,39.68600000000002,0.125,2.555880284300419,0.2979959978405383,-0.4967638003234693,1.0956148269327202e-18,1.0,1.0,0.0,2.7366739543410024,227.59741592488743,-1.5099999999999998,1.9650480959181804
Aromatic_50,CCc1ccc(CC)cc1,10.0,10.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,134.22199999999998,67.79700000000004,0.0,2.499840239140584,0.0186246682400494,0.0,2.811400000000001,45.19800000000003,0.4,1.979763087160742,0.0625702679035605,-0.0612941353776013,2.8912057932946786e-18,1.0,1.0,0.0,2.7972512629697874,160.69821324529929,-0.78,1.598288065805947
