SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3,Tg
Ic1ccc(CC)cc1,9,9,9,1,1,0,1,0,0,0,232.064,72.8055,0.0,2.57346399,0.011089458,0.0,2.8536,48.537,0.25,3.187451454,0.063395293,-0.061294128,-2.6e-18,1,1,0,2.881555878,176.264053,-0.05,1.970902995,248.10651464285695
C(=O)Oc1ccc(C#N)cc1,11,11,11,2,1,0,3,0,3,0,147.133,56.7735,60.108,2.636900286,0.017921882,50.09,1.09348,37.849,0.0,2.591578772,0.297995974,-0.428763071,-2.17e-17,1,1,0,2.841897617,283.9555223,-1.82,1.798454411,383.3491083333332
NCc1ccc(O)cc1,9,9,9,1,1,0,2,2,2,0,123.155,53.9973,55.5,2.251473473,0.018281624,46.25,0.8509,35.9982,0.142857143,2.280762144,0.293092071,-0.507966632,-1e-17,1,1,0,2.881555878,180.6125685,-1.02,1.435851175,396.24549791666664
C(=O)Nc1ccc(C(=O)N)cc1,12,12,12,3,1,0,4,2,2,0,164.164,66.9699,86.628,2.806149262,0.017093573,72.19,0.3538,44.6466,0.0,2.451310179,0.2481977,-0.365599494,-1.04e-18,1,1,0,2.846340724,292.4310995,-1.84,1.820194513,448.0784166666666
Cc1ccc([N+](=O)[O-])cc1,10,10,10,1,1,0,3,0,2,0,137.138,56.7501,51.768,2.370932283,0.01728866,43.14,1.90322,37.8334,0.142857143,2.416524334,0.268941456,-0.258309636,1.2e-17,1,1,0,3.003400685,240.2879489,-1.38,1.312840333,389.29112026515145
C(=O)Nc1ccc(NC)cc1,11,11,11,3,1,0,3,2,2,0,150.181,68.5131,49.356,2.663042483,0.01773222,41.13,1.2966,45.6754,0.125,2.192004125,0.21101248,-0.388120022,4.71e-18,1,1,0,2.736673954,230.3523034,-1.51,1.965048096,415.5219470238095
Ic1ccc(C(=O)N)cc1,10,10,10,1,1,0,3,1,1,0,247.035,71.51535,51.708,2.802838979,0.011345918,43.09,1.3901,47.6769,0.0,3.454293331,0.248196349,-0.365599503,3.04e-18,1,1,0,3.003400685,242.2879489,-0.58,1.698122161,411.3554047619047
OCc1ccc(CC)cc1,10,10,10,2,1,0,1,1,1,0,136.194,62.6142,24.276,2.490810055,0.018288691,20.23,1.7413,41.7428,0.333333333,2.175129568,0.210528197,-0.391680466,3.31e-18,1,1,0,2.797251263,165.3881692,-0.82,1.578594458,324.5162202380952
C(=O)Nc1ccccc1,9,9,9,2,1,0,2,1,1,0,121.139,54.19305,34.92,2.158959773,0.017822169,29.1,1.2549,36.1287,0.0,2.235323492,0.211012461,-0.328698031,9.97e-18,1,1,0,2.719528533,183.367456,-1.31,1.567199372,390.72747291666667
Fc1ccc(Br)cc1,8,8,8,0,1,0,2,0,0,0,175.0,51.15,0.0,2.303349303,0.013161996,0.0,2.5882,34.1,0.0,3.421309806,0.122786396,-0.207011141,-2.89e-18,1,1,0,3.032455532,147.3883389,-0.37,1.301420977,317.54106226190476
