SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3,Tg_K
C(C1C(C(C(C(O1)O)O)O)O)O,24,12,24,6,0,1,6,5,6,0,180.1560000000001,155.07200000000003,85.93584172942023,2.3157941312772974,0.1627095098712426,110.38,-3.2213999999999987,35.98599999999999,1.0,1.161757119273628,0.2134634098101127,-0.3935665160029449,8.673617379884035e-18,1,0,0,3.8764978331589024,468.1997760112523,-0.24,1.5817587586505184,405.15
C(C1C(C(C(C(O1)O)O)O)O)O,24,12,24,6,0,1,6,5,6,0,180.1560000000001,155.07200000000003,85.93584172942023,2.3157941312772974,0.1627095098712426,110.38,-3.2213999999999987,35.98599999999999,1.0,1.161757119273628,0.2134634098101127,-0.3935665160029449,8.673617379884035e-18,1,0,0,3.8764978331589024,468.1997760112523,-0.24,1.5817587586505184,405.15
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.6720000000001,162.03917075393227,3.505014315602865,0.3403883421572643,189.53,-5.397199999999994,68.61940000000003,1.0,1.1816709933994294,0.2134634098215541,-0.3935665150908041,8.018277400070574e-18,2,0,0,3.22226283161516,1106.20914151474,-0.4399999999999999,3.6467229106733217,476.65
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.3760000000001,162.03917075393227,3.7851676231841793,0.4607685964935363,189.53,-5.397199999999994,68.61940000000003,1.0,1.1828797135906208,0.213463409816357,-0.3935665150995826,5.551115123125783e-18,2,0,0,3.034544228157595,1112.2091415147397,-0.4399999999999999,3.805051280688701,457.0
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.3760000000001,162.03917075393227,3.7851676231841793,0.4607685964935363,189.53,-5.397199999999994,68.61940000000003,1.0,1.1828797135906208,0.213463409816357,-0.3935665150995826,5.551115123125783e-18,2,0,0,3.034544228157595,1112.2091415147397,-0.4399999999999999,3.805051280688701,457.0
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.3760000000001,162.03917075393227,3.7851676231841793,0.4607685964935363,189.53,-5.397199999999994,68.61940000000003,1.0,1.1828797135906208,0.213463409816357,-0.3935665150995826,5.551115123125783e-18,2,0,0,3.034544228157595,1112.2091415147397,-0.4399999999999999,3.805051280688701,457.0
C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.8640000000001,162.03917075393227,3.54390106509808,0.3657736573840285,189.53,-5.397199999999993,68.61940000000003,1.0,1.1808882786410162,0.2134634111231837,-0.393566515090804,8.943463253924874e-18,2,0,0,3.221299128144985,1112.2091415147397,-0.4399999999999999,3.6467229106733217,429.0
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)COC3(C(C(C(O3)CO)O)O)COC4(C(C(C(O4)CO)O)O)CO)O)O)O)O,87,45,90,27,0,4,21,14,21,0,666.5790000000021,559.2720000000002,314.24582880295725,4.6506239037199055,0.1580552921731787,347.83000000000004,-9.744000000000012,133.95220000000012,1.0,1.1918690726515933,0.2239675216959712,-0.3935665149997882,1.0847006562429692e-17,4,0,0,2.5397679693468094,2522.66731718759,-0.8400000000000002,6.487992639112649,405.0
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,66,34,68,19,0,3,16,11,16,0,504.4379999999997,424.3920000000001,238.14249977844435,4.260652099651908,0.2545569713614525,268.67999999999995,-7.571399999999989,101.2748,1.0,1.1886133574619682,0.2235503336926829,-0.3935665150995826,4.625929269271485e-18,3,0,0,2.636011957516157,1800.5120468276398,-0.64,5.08976591342448,416.0
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,66,34,68,19,0,3,16,11,16,0,504.4379999999997,424.3920000000001,238.14249977844435,4.260652099651908,0.2545569713614525,268.67999999999995,-7.571399999999989,101.2748,1.0,1.1886133574619682,0.2235503336926829,-0.3935665150995826,4.625929269271485e-18,3,0,0,2.636011957516157,1800.5120468276398,-0.64,5.08976591342448,416.0
